Date,Open,High,Low,Close,Adj Close,Volume
2023-03-15,0.057476,0.060146,0.056853,0.058963,0.058963,3607823
2023-03-16,0.058941,0.059172,0.054834,0.057396,0.057396,2409768
2023-03-17,0.057389,0.059019,0.055440,0.058882,0.058882,2605815
2023-03-18,0.058907,0.059239,0.055350,0.057109,0.057109,3305922
2023-03-19,0.057090,0.057670,0.051712,0.053669,0.053669,2491497
2023-03-20,0.053689,0.055080,0.053247,0.053794,0.053794,1581917
2023-03-21,0.053852,0.054069,0.050379,0.052752,0.052752,1826245
2023-03-22,0.052749,0.052843,0.051312,0.052293,0.052293,1540009
2023-03-23,0.052306,0.053475,0.050750,0.050807,0.050807,1962866
2023-03-24,0.050731,0.051926,0.049113,0.049879,0.049879,1734823
2023-03-25,0.049785,0.049785,0.043571,0.048253,0.048253,2808309
2023-03-26,0.048267,0.049840,0.048177,0.049699,0.049699,1088741
2023-03-27,0.049659,0.050611,0.044469,0.044741,0.044741,2439346
2023-03-28,0.044773,0.045891,0.043444,0.044727,0.044727,2182859
2023-03-29,0.044762,0.046693,0.040798,0.046471,0.046471,3348773
2023-03-30,0.046294,0.049284,0.042903,0.047245,0.047245,2829809
2023-03-31,0.047292,0.050805,0.047292,0.049889,0.049889,1937807
2023-04-01,0.049865,0.050563,0.049401,0.049887,0.049887,1986765
2023-04-02,0.049705,0.050305,0.046207,0.046270,0.046270,2318655
2023-04-03,0.046237,0.046490,0.043389,0.045414,0.045414,2318558
2023-04-04,0.045427,0.046288,0.044232,0.044278,0.044278,1818429
2023-04-05,0.044216,0.044589,0.041116,0.042403,0.042403,1457195
2023-04-06,0.042433,0.042922,0.040809,0.042739,0.042739,1495781
2023-04-07,0.042713,0.042757,0.040728,0.040863,0.040863,1490138
2023-04-08,0.040848,0.041907,0.039924,0.040234,0.040234,1312209
2023-04-09,0.040227,0.040610,0.039347,0.039498,0.039498,1045840
2023-04-10,0.039497,0.048363,0.038712,0.042273,0.042273,3515711
2023-04-11,0.042270,0.053040,0.042090,0.049054,0.049054,1808816
2023-04-12,0.049055,0.049280,0.046012,0.046434,0.046434,350039
2023-04-13,0.046253,0.046758,0.044837,0.045571,0.045571,463933
2023-04-14,0.045568,0.047309,0.042791,0.043703,0.043703,893945
2023-04-15,0.043723,0.045939,0.042280,0.042331,0.042331,907248
2023-04-16,0.042354,0.043938,0.041492,0.042087,0.042087,708291
2023-04-17,0.042117,0.047841,0.042015,0.042139,0.042139,616714
2023-04-18,0.042140,0.044948,0.042069,0.044504,0.044504,460146
2023-04-19,0.044538,0.044708,0.039021,0.039174,0.039174,701899
2023-04-20,0.039174,0.042304,0.039153,0.041170,0.041170,619591
2023-04-21,0.041181,0.041351,0.039722,0.039830,0.039830,338150
2023-04-22,0.039800,0.042372,0.039800,0.040166,0.040166,397799
2023-04-23,0.040166,0.040679,0.038645,0.038645,0.038645,440961
2023-04-24,0.038645,0.039054,0.037103,0.037408,0.037408,427676
2023-04-25,0.037398,0.037773,0.035349,0.036139,0.036139,506367
2023-04-26,0.036161,0.041466,0.035864,0.040072,0.040072,659222
2023-04-27,0.040089,0.040148,0.038131,0.038230,0.038230,343311
2023-04-28,0.038217,0.039360,0.037611,0.038358,0.038358,377072
2023-04-29,0.038327,0.039565,0.037629,0.039325,0.039325,350470
2023-04-30,0.039324,0.039739,0.035614,0.035953,0.035953,359957
2023-05-01,0.035983,0.038518,0.035944,0.036492,0.036492,690649
2023-05-02,0.036464,0.038622,0.036396,0.037907,0.037907,298637
2023-05-03,0.037939,0.039957,0.037429,0.039924,0.039924,353229
2023-05-04,0.039916,0.047456,0.039916,0.046548,0.046548,1644711
2023-05-05,0.046599,0.046698,0.041268,0.041268,0.041268,677984
2023-05-06,0.041260,0.041560,0.040233,0.040611,0.040611,595039
2023-05-07,0.040557,0.041637,0.040190,0.040834,0.040834,473655
2023-05-08,0.040833,0.041418,0.039286,0.039923,0.039923,646307
